id;commentaires;premiere_diffusion_episode;numero_episode;resume_episode;note;duree;numero_saison;titre_episode;votes;titre_serie;annee_premiere_diffusion_serie;resume_serie;premiere_diffusion_serie;pays;status_serie;genres_serie
73650;2;2012-04-02 01:00:00;1;As Robb Stark and his northern army continue the war against the Lannisters, Tyrion arrives in King’s Landing to counsel Joffrey and temper the young king’s excesses.  On the island of Dragonstone, Stannis Baratheon plots an invasion to claim his late brother’s throne, allying himself with the fiery Melisandre, a strange priestess of a stranger god.  Across the sea, Daenerys, her three young dragons, and the khalasar trek through the Red Waste in search of allies, or water.  In the North, Bran presides over a threadbare Winterfell, while beyond the Wall, Jon Snow and the Night’s Watch must shelter with a devious wildling.;8.13997;52;2;The North Remembers;8845;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73651;2;2012-04-09 01:00:00;2;In the wake of a bloody purge in the capital, Tyrion chastens Cersei for alienating the king’s subjects.  On the road north, Arya shares a secret with Gendry, a Night’s Watch recruit.  With supplies dwindling, one of Dany’s scouts returns with news of their position.  After nine years as a Stark ward, Theon Greyjoy reunites with his father Balon, who wants to restore the ancient Kingdom of the Iron Islands.  Davos enlists Salladhor Saan, a pirate, to join forces with Stannis and Melisandre for a naval invasion of King’s Landing.;8.07351;53;2;The Night Lands;8366;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73652;3;2012-04-16 01:00:00;3;At the Red Keep, Tyrion plots three alliances through the promise of marriage.  Catelyn arrives in the Stormlands to forge an alliance of her own, but King Renly, his new wife Margaery, and her brother Loras Tyrell have other plans.  At Winterfell, Luwin tries to decipher Bran’s dreams.;8.10267;52;2;What is Dead May Never Die;8026;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73653;3;2012-04-23 01:00:00;4;Joffrey punishes Sansa for Robb’s victories, and Tyrion scrambles to temper the king’s cruelty. Catelyn entreats Stannis and Renly to unite against the Lannisters. Dany and her khalasar arrive at the prosperous city of Qarth. Tyrion coerces a relative into being his eyes and ears. Arya and Gendry are taken to Harrenhal, where their lives are in the hands of Ser Gregor Clegane. Stannis orders Davos to smuggle Melisandre into a secret cove.;8.08692;50;2;Garden of Bones;8099;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73654;1;2012-04-30 01:00:00;5;The Baratheon rivalry ends, driving Catelyn to flee and Littlefinger to act. At King’s Landing, Tyrion’s source alerts him to Joffrey’s defense plan - and a mysterious secret weapon. Theon sails to the Stony Shore to prove he’s worthy to be called Ironborn. At Harrenhal, Arya receives a promise from Jaqen H’ghar, one of the prisoners she saved from the Gold Cloaks. The Night’s Watch arrive at the Fist of the First Men, an ancient ringfort where they hope to stem the wildings' advance.;8.09681;54;2;The Ghost of Harrenhal;7964;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73655;0;2012-05-07 01:00:00;6;Theon completes his master stroke. In King's Landing, the Lannisters send Myrcella off to be married. Arya comes face to face with a surprise visitor. Dany vows to take what is hers. Robb and Catelyn receive crucial news. Qhorin gives Jon a chance to prove himself.;8.148;54;2;The Old Gods and the New;7865;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73656;2;2012-05-14 01:00:00;7;Jamie meets a distant relative. Daenerys receives an invitation to the House of the Undying. Theon leads a search party. Jon loses his way in the wilderness. Cersei counsels Sansa.;8.12126;55;2;A Man Without Honor;7752;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73657;0;2012-05-21 01:00:00;8;Theon receives a visitor. Arya asks her third and last death from Jaqen. While Stannis' army is reaching its destination, Davos is offered a reward.  Betrayal befalls Robb.;8.06719;53;2;The Prince of Winterfell;7695;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73658;4;2012-05-28 01:00:00;9;Tyrion and the Lannisters fight for their lives as Stannis’ fleet assaults King’s Landing.;8.49331;54;2;Blackwater;8076;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73659;4;2012-06-04 01:00:00;10;Tyrion awakens to a changed situation. King Joffrey doles out rewards to his subjects. As Theon stirs his men to action, Luwin offers some final advice. Brienne silences Jaime. Arya receives a gift from Jaqen. Dany goes to a strange place. Jon proves himself to Qhorin.;8.46929;63;2;Valar Morghulis;7880;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73660;1;2013-04-01 01:00:00;1;Jon meets the King-Beyond-the-Wall while his Night Watch Brothers flee south. In King's Landing, Tyrion wants a reward, Margaery shows her charitable nature, Cersei arranges a dinner party, and Littlefinger offers to help Sansa. Across the Narrow Sea, Daenerys starts her journey west.;8.20916;54;3;Valar Dohaeris;9696;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73661;0;2013-04-08 01:00:00;2;Sansa says too much. Shae asks Tyrion for a favor. Jaime finds a way to pass the time, while Arya encounters the Brotherhood Without Banners.;8.05706;57;3;Dark Wings, Dark Words;8991;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73662;2;2013-04-15 01:00:00;3;Tyrion shoulders new responsibilities. Jon is taken to the Fist of the First Men. Daenerys meets with the slavers. Jaime strikes a deal with his captors.;8.14068;52;3;Walk of Punishment;9035;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73663;7;2013-04-22 01:00:00;4;Trouble brews among the Night's Watch at Craster's. Margaery takes Joffrey out of his comfort zone. Arya meets the leader of the Brotherhood. Varys plots revenge on an old foe. Theon mournfully recalls his missteps. Daenerys deftly orchestrates her exit from Astapor.;8.56115;53;3;And Now His Watch Is Ended;9461;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73664;2;2013-04-29 01:00:00;5;The Hound is judged by the gods. Jaime is judged by men. Jon proves himself. Robb is betrayed. Tyrion learns the cost of weddings.;8.12986;57;3;Kissed by Fire;8771;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73665;0;2013-05-06 01:00:00;6;Tywin plans strategic unions for the Lannisters. Melisandre pays a visit to the Riverlands. Robb weighs a compromise to repair his alliance with House Frey. Roose Bolton decides what to do with Jaime Lannister. Jon, Ygritte, and the Wildlings face a daunting climb.;8.09417;53;3;The Climb;8665;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73666;3;2013-05-13 01:00:00;7;Daenerys exchanges gifts with a slave lord outside of Yunkai. As Sansa frets about her prospects, Shae chafes at Tyrion’s new situation. Tywin counsels the king, and Melisandre reveals a secret to Gendry. Brienne faces a formidable foe in Harrenhal.;8.16518;57;3;The Bear and the Maiden Fair;8663;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73667;1;2013-05-20 01:00:00;8;King’s Landing hosts a wedding, and Tyrion and Sansa spend the night together. Daenerys meets the Titan’s Bastard. Davos demands proof from Melisandre. Sam and Gilly meet an older gentleman.;8.24355;56;3;Second Sons;8799;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73668;26;2013-06-03 01:00:00;9;Robb presents himself to Walder Frey, and Edmure meets his bride. Jon faces his harshest test yet. Bran discovers a new gift. Daario and Jorah debate how to take Yunkai. House Frey joins with House Tully.;8.71779;50;3;The Rains of Castamere;9996;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73669;2;2013-06-10 01:00:00;10;Joffrey challenges Tywin. Bran tells a ghost story. In Dragonstone, mercy comes from strange quarters. Daenerys waits to see if she is a conqueror or a liberator.;8.38655;62;3;Mhysa;8907;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73670;7;2014-04-07 01:00:00;1;Tyrion welcomes a surprise guest to King’s Landing for the royal wedding, but fears he’s come to the Red Keep for something else. Meanwhile, Jon warns his skeptical Night’s Watch superiors about an impending attack. Jaime struggles to regain his status at home. Arya encounters a face from her past, and Daario Naharis discusses strategy with Daenerys on the journey to the slave city Meereen.;8.36211;58;4;Two Swords;10922;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73671;10;2014-04-14 01:00:00;2;"A who’s who of honored guests turns out for Joffrey and Margaery’s wedding in King’s Landing, but the king’s taste in entertainment rubs many of them the wrong way. Meanwhile, Bronn gives a lesson to an unlikely pupil; Bran’s vision helps map out his journey; Stannis loses patience with Davos; and Ramsay takes a perverse delight in his new pet.";8.69004;52;4;The Lion and the Rose;10824;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73672;2;2014-04-21 01:00:00;3;In the frenzied aftermath of the royal wedding, Tyrion gets a visit from a loyal subject, but wonders if anyone in his family will help him out of his current predicament. Meanwhile, Tywin offers to work for the common good with a presumed enemy. Sam takes stock of the personnel at Castle Black. The Hound gives another life lesson to Arya, and Daenerys makes a decision outside the walls of Meereen.;8.27194;56;4;Breaker of Chains;10050;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73673;2;2014-04-28 01:00:00;4;Jon welcomes volunteers. Bran, Jojen, Meera and Hodor seek shelter. Jaime and Brienne discuss his honor. Daenerys balances justice and mercy.;8.15686;55;4;Oathkeeper;9894;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73674;1;2014-05-05 01:00:00;5;Jon starts a new mission. Cersei and Tywin consider the next move for the Crown. Daenerys makes plans for the future after hearing the latest news from King's Landing. Lord Baelish and Sansa reach their destination.;8.05473;53;4;First of His Name;9793;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73675;5;2014-05-12 01:00:00;6;Tyrion faces his father in the throne room. Stannis and Davos put their faith in a new strategy. Daenerys' sphere of influence expands.;8.50294;50;4;The Laws of Gods and Men;10220;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73676;5;2014-05-19 01:00:00;7;Tyrion gains an unlikely ally. Daario asks Daenerys to allow him to do what he does best. Jon's warnings about the vulnerability of the Wall are ignored. Brienne follows a new lead. Arya and The Hound come across Rorge. Sansa discovers Littlefinger's true intentions for The Eyrie.;8.35022;51;4;Mockingbird;9988;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73677;9;2014-06-02 01:00:00;8;Unexpected visitors arrive in Mole's Town. Sam questions his decision regarding Gilly. Littlefinger's motives are questioned. Sansa is interrogated by Lord Royce. Arya and The Hound arrive at the Bloody Gate. Ramsay tries to prove himself to his father. Tyrion's fate is decided.;8.58726;52;4;The Mountain and the Viper;10406;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73678;3;2014-06-09 01:00:00;9;The Night's Watch attempts to defend Castle Black against Mance Rayder's massive wildling army, who plan to siege the fortress from the north, while a secret garrison of wildlings, including Ygritte, are poised to launch a surprise attack from the south.;8.46571;50;4;The Watchers on the Wall;10337;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73679;10;2014-06-16 01:00:00;10;Circumstances change after an unexpected arrival from north of the Wall. Daenerys must face harsh realities. Bran learns more about his destiny. Tyrion sees the truth about his situation.;8.62727;65;4;The Children;10517;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
73680;30;2015-04-13 01:00:00;1;"Cersei and Jaime adjust to a world without Tywin; Varys reveals a conspiracy to Tyrion; Daenerys faces a new threat to her rule; Jon is caught between two kings.";8.00589;59;5;The Wars to Come;11385;Game of Thrones;2011;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.;2011-04-17 00:00:00;us;returning series;['drama', 'fantasy', 'science-fiction', 'action', 'adventure']
